ano_mes,realizado,pred_sarimax,pred_prophet,pred_lgbm,pred_xgboost,pred_ensemble,erro_absoluto,erro_percentual
2025-01-01,27251599.63,17554107.169707634,11743920.519825457,17817112.429101057,42539876.0,27110187.997765005,141411.63223499432,0.5189113085285494
2025-02-01,14300044.04,14303995.368287697,14346828.12250137,10067005.176475575,7284182.0,2558170.1342364512,11741873.905763548,82.11075345585823
2025-03-01,12490802.21,27290433.760574803,17298928.950007115,11917925.210442437,21250492.0,11319409.101084383,1171393.1089156177,9.378045454741194
2025-04-01,16527356.71,41258890.40613076,25878833.49451673,12753502.681563063,7948408.0,4168519.4803940114,12358837.22960599,74.77806310145277
2025-05-01,9034222.26,29924249.81841976,24209795.799558315,12040643.492250858,4395251.0,1682332.9467849918,7351889.313215008,81.37822052227224
2025-06-01,15834519.58,30386045.838444196,18436878.531861193,17393621.45069672,39164816.0,25843486.95449736,10008967.37449736,63.20979505522427
2025-07-01,22943801.53,17060061.260399505,17470468.312710956,24772459.81280327,15640020.0,13808280.15858736,9135521.37141264,39.81694733310675
2025-08-01,30293040.91,13074224.177027296,12658337.701280003,28113014.28002253,46745956.0,38886541.695548646,8593500.785548646,28.36790407103651
2025-09-01,6786442.92,12304813.974602759,9819034.263041686,11315396.101476716,16785332.0,7909404.30327039,1122961.3832703903,16.547127803299794
2025-10-01,42403424.53,20122873.51561477,16918737.5167731,48882348.023113176,27565652.0,34466491.23380613,7936933.296193868,18.717670528187096
2025-11-01,12080978.98,17271490.07172709,21603614.548282765,12847595.710667385,1879713.0,206903.16893937625,11874075.811060624,98.28736421707295
2025-12-01,26330021.52,36965454.26552091,17110219.461198904,24284733.078852236,28332652.0,22375952.917179592,3954068.6028204076,15.01733904705296
