ano_mes,realizado,pred_sarimax,pred_lgbm,pred_ridge,pred_ensemble,erro_absoluto,erro_percentual
2025-01-01,27251599.63,13984014.099307433,18474082.011420377,13738054.74303532,17025812.041213736,10225787.588786263,37.52362330147099
2025-02-01,14300044.04,11974856.142094053,18305699.91216683,8387397.629866889,16817096.469692573,2517052.429692574,17.601711034258983
2025-03-01,12490802.21,21669827.506209537,19584693.17377953,17120308.84788504,17627095.25805817,5136293.048058171,41.12060187732467
2025-04-01,16527356.71,35859076.695454836,34175168.47455683,25907168.956301004,24660182.749236666,8132826.039236665,49.208268339218684
2025-05-01,9034222.26,25892874.28034383,28782995.563393872,26483535.579255946,22153889.67788025,13119667.41788025,145.22188009441612
2025-06-01,15834519.58,24843322.14881782,20238766.312706955,26364809.432302304,18157437.74332942,2322918.1633294206,14.669962998204337
2025-07-01,22943801.53,13635399.740289882,21121519.435957845,27272071.26479049,18592081.22619862,4351720.30380138,18.966866925305816
2025-08-01,30293040.91,9933851.833673518,19716167.059831597,17587969.506428484,17699909.600054793,12593131.309945207,41.57103721398964
2025-09-01,6786442.92,9055941.288069148,15929989.897240955,15139013.715106027,15870746.535942813,9084303.615942813,133.8595744933019
2025-10-01,42403424.53,16291730.323223084,28310003.71744224,18199093.236506358,21731512.613472104,20671911.916527897,48.750571789084454
2025-11-01,12080978.98,15406706.70287373,29508589.729096424,14978214.579619734,22213467.823695462,10132488.843695462,83.87142184809481
2025-12-01,26330021.52,30447441.161622155,15988509.353321025,13695464.615864653,15863022.156842079,10466999.36315792,39.753098398371236
